Location1,Definition1,Identifier1,Location2,Definition2,Identifier2,Location3,Definition3,Identifier3,Location4,Definition4,Identifier4,Location5,Definition5,Identifier5,Location6,Definition6,Identifier6,Location7,Definition7,Identifier7,Location8,Definition8,Identifier8,Location9,Definition9,Identifier9,Location10,Definition10,Identifier10,Location11,Definition11,Identifier11,Location12,Definition12,Identifier12,Location13,Definition13,Identifier13,Location14,Definition14,Identifier14,Location15,Definition15,Identifier15,Location16,Definition16,Identifier16,Location17,Definition17,Identifier17,Location18,Definition18,Identifier18,Location19,Definition19,Identifier19,Location20,Definition20,Identifier20
best,the supreme effort one can make,best.n.01,chop,a grounder that bounces high in the air,chop.n.05,homer,a base hit on which the batter scores a run,homer.n.01,knock,the act of hitting vigorously,knock.n.05,smacker,a very powerful blow with the fist,smacker.n.02,dig,the act of touching someone suddenly with your finger or elbow,dig.n.05,boot,the act of delivering a blow with the foot,kick.n.01,smacker,a loud kiss,smacker.n.01,hit,a connection made via the internet to another website,hit.n.07,junction,an act of joining or adjoining things,junction.n.05,prospect,a prediction of the course of a disease,prognosis.n.02,willing,the act of making a choice,volition.n.02,exchange,(chess) the capture by both players (usually on consecutive moves) of pieces of equal value,exchange.n.11,exchange,(chess) gaining (or losing) a rook in return for a knight or bishop,exchange.n.10,flora,(botany) a living organism lacking the power of locomotion,goldNo,Namibia,a republic in southwestern Africa on the south Atlantic coast (formerly called South West Africa); achieved independence from South Africa in 1990; the greater part of Namibia forms part of the high Namibian plateau of South Africa,goldYes,ruse,a deceptive maneuver (especially to avoid capture),ruse.n.01,way,how a result is obtained or an end is achieved,means.n.01,vote,the opinion of a group as determined by voting,vote.n.02,vote,a choice that is made by counting the number of people in favor of each alternative,vote.n.01
conversion,a successful free throw or try for point after a touchdown,conversion.n.03,economy,an act of economizing; reduction in cost,economy.n.04,exchange,the act of putting one thing or person in the place of another: "he sent Smith in for Jones but the substitution came too late to help",substitution.n.02,hit,(baseball) a successful stroke in an athletic contest (especially in baseball),goldNo,South West Africa,a republic in southwestern Africa on the south Atlantic coast (formerly called South West Africa); achieved independence from South Africa in 1990; the greater part of Namibia forms part of the high Namibian plateau of South Africa,goldYes,blackball,the act of excluding someone by a negative vote or veto,barring.n.01,kill,the destruction of an enemy plane or ship or tank or missile,kill.n.02,kill,the act of terminating a life,killing.n.02,gore,the shedding of blood resulting in murder,bloodshed.n.01,startup,the act of starting a new operation or practice,inauguration.n.01,startup,the act of setting in operation,startup.n.01,browning,cooking to a brown crispiness over a fire or on a grill,toasting.n.01,progress,gradual improvement or growth or development,advancement.n.03,bath,you soak and wash your body in a bathtub,bath.n.02,patching,the act of mending a hole in a garment by sewing a patch over it,patching.n.01,sprinkle,the act of sprinkling or splashing water,sprinkle.n.02,chew,biting and grinding food in your mouth so it becomes soft enough to swallow,chew.n.02,progress,the act of moving forward (as toward a goal),progress.n.02,advance,the act of moving forward (as toward a goal),progress.n.02,amble,a leisurely walk (usually in some public place),amble.n.01
waddle,walking with short steps and the weight tilting from one foot to the other,waddle.n.01,wandering,travelling about without any clear destination,wandering.n.01,glide,the activity of flying a glider,glide.n.03,solo,a flight in which the aircraft pilot is unaccompanied,solo.n.03,way,a journey or passage,way.n.07,portage,carrying boats and supplies overland,portage.n.03,chase,the act of pursuing in an effort to overtake or capture,pursuit.n.01,ascension,the act of changing location in an upward direction,rise.n.02,glide,the act of moving smoothly along a surface while remaining in contact with it,slide.n.05,coast,the act of moving smoothly along a surface while remaining in contact with it,slide.n.05,birling,rotating a log rapidly in the water (as a competitive sport),birling.n.01,posing,(photography) the act of assuming a certain position (as for a photograph or portrait),sitting.n.01,wag,causing to move repeatedly from side to side,wag.n.02,waver,the act of moving back and forth,waver.n.03,trim,cutting down to the desired size or shape,trim.n.04,advance,increase in price or value,advance.n.06,deposit,the act of putting something somewhere,deposit.n.09,chipping,the act of chipping something,chip.n.09,anchorage,the act of anchoring,goldNo,Windhoek,capital of Namibia in the center of the country,goldYes
union,the act of making or becoming a single unit,union.n.11,gap,an act of delaying or interrupting the continuity,break.n.13,split,division of a group into opposing factions,schism.n.01,split,the act of rending or ripping or splitting something,rent.n.04,docking,the act of securing an arriving vessel with ropes,goldNo,Herat,a city in northwestern Afghanistan on the site of several ancient cities,goldYes,baring,the removal of covering,denudation.n.01,drain,emptying something accomplished by allowing liquid to run out of it,drain.n.01,conversion,the act of changing from one use or function or purpose to another,conversion.n.09,crouch,the act of bending low with the limbs close to the body,crouch.n.01,way,a course of conduct,way.n.05,clinch,a tight or amorous embrace,hug.n.01,boot,a form of foot torture in which the feet are encased in iron and slowly crushed,boot.n.06,bag,an activity that you like or at which you are superior,cup_of_tea.n.01,dish,an activity that you like or at which you are superior,cup_of_tea.n.01,split,extending the legs at right angles to the trunk (one in front and the other in back),split.n.01,split,an increase in the number of outstanding shares of a corporation without changing the shareholders' equity,split.n.09,somerset,an acrobatic feat in which the feet roll over the head (either forward or backward) and return,somersault.n.01,summerset,an acrobatic feat in which the feet roll over the head (either forward or backward) and return,somersault.n.01,telemark,a turn made in skiing; the outside ski is placed ahead and turned gradually inwards,telemark.n.01
plunge,a brief swim in water,dip.n.08,clinch,(boxing) the act of one boxer holding onto the other to avoid being hit and to rest momentarily,goldNo,Jalalabad,a town in eastern Afghanistan (east of Kabul),goldYes,hunt,the pursuit and killing or capture of wild animals regarded as a sport,hunt.n.08,farming,agriculture considered as an occupation or way of life,farming.n.02,down,(American football) a complete play to advance the football,down.n.02,rugby,a form of football played with an oval ball,rugby.n.01,polo,a game similar to field hockey but played on horseback using long-handled mallets and a wooden ball,polo.n.02,casino,a card game in which cards face up on the table are taken with eligible cards in the hand,casino.n.02,cassino,a card game in which cards face up on the table are taken with eligible cards in the hand,casino.n.02,fantan,a card game in which you play your sevens and other cards in sequence in the same suit as the sevens; you win if you are the first to use all your cards,fantan.n.02,faro,a card game in which players bet against the dealer on the cards he will draw from a dealing box,faro.n.01,monte,a gambling card game of Spanish origin; 3 or 4 cards are dealt face up and players bet that one of them will be matched before the others as the cards are dealt from the pack one at a time,monte.n.01,Michigan,a gambling card game in which chips are placed on the ace and king and queen and jack of separate suits (taken from a separate deck); a player plays the lowest card of a suit in his hand and successively higher cards are played until the sequence stops; the player who plays a card matching one in the layout wins all the chips on that card,michigan.n.03,Chicago,a gambling card game in which chips are placed on the ace and king and queen and jack of separate suits (taken from a separate deck); a player plays the lowest card of a suit in his hand and successively higher cards are played until the sequence stops; the player who plays a card matching one in the layout wins all the chips on that card,michigan.n.03,Newmarket,a gambling card game in which chips are placed on the ace and king and queen and jack of separate suits (taken from a separate deck); a player plays the lowest card of a suit in his hand and successively higher cards are played until the sequence stops; the player who plays a card matching one in the layout wins all the chips on that card,michigan.n.03,Napoleon,a card game similar to whist; usually played for stakes,napoleon.n.03,rum,a card game based on collecting sets and sequences; the winner is the first to meld all their cards,rummy.n.02,canfield,a form of solitaire that involves gambling,canfield.n.01,bolivia,a form of canasta in which sequences can be melded,bolivia.n.02
samba,a form of canasta using three decks of cards and six jokers,samba.n.04,pool,any of various games played on a pool table having 6 pockets,pool.n.09,fantan,a Chinese gambling game; a random number of counters are placed under a bowl and you gamble on how many will be left (0 1 2 or 3 modulo 4),fantan.n.01,jinks,noisy and mischievous merrymaking,jinks.n.01,spree,a brief indulgence of your impulses,spree.n.01,bender,revelry in drinking; a merry drinking party,carouse.n.01,rodeo,an exhibition of cowboy skills,rodeo.n.01,Charleston,an American ballroom dance in syncopated rhythm; popular early in the 20th century,charleston.n.03,samba,a lively ballroom dance from Brazil,samba.n.03,skit,a short theatrical episode,skit.n.01,surprise,the act of surprising someone,surprise.n.03,furore,a sudden outburst (as of protest),furor.n.02,wilding,an outrageous rampage usually involving sexual attacks by men on women,wilding.n.02,rush,the act of moving hurriedly and in a careless manner,haste.n.02,rushing,the act of moving hurriedly and in a careless manner,haste.n.02,scurry,rushing about hastily in an undignified way,scamper.n.01,lam,a rapid escape (as by criminals),goldNo,Kabul,the capital and largest city of Afghanistan; located in eastern Afghanistan,goldYes,rush,(American football) an attempt to advance the ball by running into the line,rush.n.07,rushing,(American football) an attempt to advance the ball by running into the line,rush.n.07
chop,a tennis return made with a downward motion that puts backspin on the ball,chop.n.04,line,the principal activity in your life that you do to earn money,occupation.n.01,plum,a highly desirable position or assignment,plum.n.03,law,the learned profession that is mastered by graduate study in a law school and that is responsible for the judicial system,law.n.06,hunt,the work of finding and killing or capturing animals for food or pelts,hunt.n.07,justice,judgment involved in the determination of rights and the assignment of rewards and punishments,justice.n.02,tiling,the application of tiles to cover a surface,tiling.n.01,chore,a specific piece of work required to be done as a duty or for a specific fee,job.n.02,mound,the position on a baseball team of the player who throws the ball for a batter to try to hit,pitcher.n.05,back,(American football) the position of a player on a football team who is stationed behind the line of scrimmage,back.n.09,mission,the organized work of a religious missionary,mission.n.04,mission,a special assignment that is given to a person or group,mission.n.03,inroad,an encroachment or intrusion,inroad.n.01,hell,noisy and unrestrained mischief,hell.n.06,liberty,an act of undue intimacy,familiarity.n.05,vice,a specific form of evildoing,vice.n.02,bluff,the act of bluffing in poker; deception by a false show of confidence in the strength of your cards,bluff.n.03,hit,a conspicuous success,goldNo,Kandahar,a city in southern Afghanistan; an important trading center,goldYes,ira,belligerence aroused by a real or supposed wrong (personified as one of the deadly sins),wrath.n.02
rolling,the act of robbing a helpless person,rolling.n.02,petty,larceny of property having a value less than some amount (the amount varies by locale),petit_larceny.n.01,endeavor,earnest and conscientious activity intended to do or accomplish something,attempt.n.01,bid,an attempt to get something,bid.n.02,fitting,putting clothes on to see whether they fit,fitting.n.04,enterprise,a purposeful or industrious undertaking (especially one that requires effort or boldness),enterprise.n.01,endeavor,a purposeful or industrious undertaking (especially one that requires effort or boldness),enterprise.n.01,marathon,any long and arduous undertaking,marathon.n.01,raise,increasing the size of a bet (as in poker),raise.n.03,hire,the act of hiring something or someone,hire.n.02,nelson,any of several wrestling holds in which an arm is passed under the opponent's arm from behind and the hand exerts pressure on the back of the neck,nelson.n.02,locking,the act of locking something up to protect it,locking.n.01,pant,a short labored intake of breath with the mouth open,gasp.n.01,browse,the act of feeding by continual nibbling,browse.n.03,fucking,slang for sexual intercourse,fuck.n.01,union,the act of pairing a male and female for reproductive purposes,coupling.n.03,bloomer,an embarrassing mistake,goldNo,Qandahar,a city in southern Afghanistan; an important trading center,goldYes,kissing,affectionate play (or foreplay without contact with the genital organs),caressing.n.01,stare,a fixed look with eyes open wide,stare.n.01
outlook,the act of looking out,lookout.n.04,farming,the practice of cultivating the land or raising stock,farming.n.01,boring,the act of drilling a hole in the earth in the hope of producing petroleum,boring.n.02,shaping,the act of fabricating something in a particular shape,formation.n.02,watercolor,the art or technique of painting with watercolors,watercolor.n.04,dig,the act of digging,excavation.n.01,boring,the act of drilling,drilling.n.01,hunt,the activity of looking thoroughly in order to find something or someone,search.n.01,mission,an operation that is assigned by a higher headquarters,mission.n.02,onset,(military) an offensive against an enemy (using weapons),attack.n.01,inroad,an invasion or hostile attack,inroad.n.02,recco,reconnaissance (by shortening),recce.n.01,purchase,the acquisition of something for payment,goldNo,Albania,a republic in southeastern Europe on the Adriatic coast of the Balkan Peninsula,goldYes,tune,the adjustment of a radio receiver or other circuit to a required frequency,tune.n.03,camber,the alignment of the wheels of a motor vehicle closer together at the bottom than at the top,camber.n.03,reading,the act of measuring with meters or similar instruments,reading.n.08,Rorschach,a projective tests using bilaterally symmetrical inkblots; subjects state what they see in the inkblot,rorschach.n.01,TAT,a projective technique using black-and-white pictures; subjects tell a story about each picture,thematic_apperception_test.n.01,vesper,a late afternoon or evening worship service,vesper.n.02
stopover,a brief stay in the course of a journey,stop.n.03,supply,the activity of supplying or providing something,provision.n.02,drain,a gradual depletion of energy or resources,drain.n.04,waver,the act of pausing uncertainly,hesitation.n.03,clemency,leniency and compassion shown toward offenders by a person or agency charged with administering justice,clemency.n.02,bar,the act of preventing,prevention.n.01,save,(sports) the act of preventing the opposition from scoring,save.n.01,alliance,the act of forming an alliance or confederation,confederation.n.03,dole,money received from the state,dole.n.02,pogy,money received from the state,dole.n.02,commerce,transactions (sales and purchases) having the objective of supplying commodities (goods and services),commerce.n.01,exchange,reciprocal transfer of equivalent sums of money (especially the currencies of different countries),exchange.n.08,conversion,act of exchanging one type of money or security for another,conversion.n.08,market place,the world of commercial activity where goods and services are bought and sold,market.n.01,exchange,the act of giving something in return for something received,exchange.n.04,selling,the exchange of goods for an agreed sum of money,selling.n.01,assumption,the act of taking possession of or power over something,goldNo,Tirana,the capital and largest city of Albania in the center of the country,goldYes,sale,a particular instance of selling,sale.n.01,sale,the general activity of selling,sale.n.02
